,ID,CommentsTokenizedStemmed
0,1309,"['doe', 'not', 'like', 'the', 'way', 'the', 'phone', 'work', '.', 'it', 'is', 'to', 'difficult', 'compar', 'to', 'his', 'last', 'phone', '.']"
1,3556,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'adit', 'accessori', '.']"
2,2230,"['want', 'to', 'know', 'how', 'to', 'do', 'text', 'messag', '.', 'refer', 'him', 'to', 'websit', '.']"
3,2312,"['ask', 'how', 'to', 'disabl', 'call', 'wait', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
4,3327,"['need', 'help', 'learn', 'how', 'to', 'use', 'the', 'phone', '.', 'i', 'suggest', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
5,1480,"['call', 'about', 'new', 'plan', '.', 'might', 'switch', 'soon', '.', 'want', 'more', 'minut', '.']"
6,3789,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'access-ori', '.']"
7,1060,"['said', 'his', 'batteri', 'never', 'has', 'work', 'well', '.', 'want', 'a', 'new', 'phone', 'asap', '.']"
8,1854,"['he', 'claim', 'that', 'the', 'charger', 'never', 'realli', 'work', 'veri', 'well', '.', 'as', 'a', 'result', 'the', 'phone', 'was', 'alway', 'die', 'on', 'him', '.', 'he', 'could', 'not', 'wait', 'to', 'get', 'out', 'of', 'his', 'current', 'contract', '.']"
9,1745,"['want', 'to', 'know', 'the', 'nearest', 'store', 'locat', '.', 'want', 'to', 'buy', 'addit', 'accessori', '.']"
10,841,"['said', 'his', 'batteri', 'never', 'has', 'work', 'well', '.', 'want', 'a', 'new', 'phone', 'asap', '.']"
11,2601,"['said', 'his', 'bateri', 'never', 'has', 'work', 'well', '.', 'want', 'a', 'new', 'phone', 'asap', '.']"
12,2222,"['ask', 'about', 'how', 'to', 'chang', 'his', 'ring', 'tone', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
13,1557,"['need', 'help', 'learn', 'how', 'to', 'use', 'the', 'phone', '.', 'i', 'suggest', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
14,2944,"['lost', 'the', 'direct', 'to', 'phone', 'and', 'want', 'anoth', 'manual', '.', 'i', 'refer', 'him', 'to', 'web', 'site', '.']"
15,2820,"['ask', 'how', 'to', 'disabl', 'call', 'wait', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
16,3186,"['want', 'a', 'new', 'number', 'becaus', 'he', 'keep', 'on', 'get', 'call', 'for', 'a', 'mr.', 'napeleon', 'leroy', '.']"
17,3721,"['he', 'expect', 'signific', 'better', 'technic', 'support', '.']"
18,1802,"['he', 'ask', 'us', 'to', 'pleas', 'take', 'him', 'off', 'the', 'outbound', 'call', 'list', '.', 'in', 'addit', 'want', 'to', 'chang', 'rate', 'plan', 'at', 'the', 'end', 'of', 'the', 'year', '.']"
19,375,"['want', 'more', 'inform', 'on', 'the', 'famili', 'plan', '.', 'also', 'ask', 'about', 'how', 'he', 'could', 'use', 'call', 'screen', '.']"
20,3264,"['call', 'about', 'new', 'plan', '.', 'might', 'switch', 'soon', '.', 'want', 'more', 'minut', '.']"
21,3707,"['want', 'to', 'know', 'how', 'to', 'do', 'text', 'messag', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
22,1064,"['said', 'his', 'batteri', 'never', 'has', 'work', 'well', '.', 'want', 'a', 'new', 'phone', 'asap', '.']"
23,930,"['want', 'a', 'new', 'facepl', '.']"
24,3315,"['ask', 'about', 'how', 'to', 'chang', 'his', 'ring', 'tone', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
25,2901,"['want', 'to', 'get', 'an', 'addit', 'line', 'work', 'by', 'the', 'end', 'of', 'the', 'week', '.', 'forward', 'him', 'on', 'to', 'custom', 'care', '.']"
26,2464,"['want', 'to', 'know', 'how', 'to', 'do', 'text', 'messag', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
27,191,"['hope', 'to', 'get', 'an', 'additon', 'line', 'work', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'wife', '.']"
28,1460,"['want', 'to', 'know', 'how', 'to', 'do', 'text', 'messag', '.', 'refer', 'him', 'to', 'web', 'site', '.']"
